INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BAJAJ-AUTO,25-Oct-2012,0,XX,1625.95,1638.1,1625.95,1630,1630,4,8.15,375,250,31-JUL-2012,
FUTSTK,BAJAJHIND,30-Aug-2012,0,XX,31.35,31.7,30.3,30.65,30.65,607,1501.85,18568000,-824000,31-JUL-2012,
FUTSTK,BAJAJHIND,27-Sep-2012,0,XX,31.5,31.5,31.1,31.25,31.25,4,10.01,264000,8000,31-JUL-2012,
FUTSTK,BAJAJHLDNG,30-Aug-2012,0,XX,732.1,774,732.1,772.05,772.05,10,18.99,17500,0,31-JUL-2012,
FUTSTK,BAJAJHLDNG,27-Sep-2012,0,XX,690.1,690.1,690.05,690.05,777.45,4,6.9,250,250,31-JUL-2012,
FUTSTK,BALRAMCHIN,30-Aug-2012,0,XX,57.4,57.6,54.05,54.65,54.65,1377,3071.23,12932000,1720000,31-JUL-2012,
FUTSTK,BALRAMCHIN,27-Sep-2012,0,XX,55.3,55.3,55.3,55.3,55.3,1,2.21,4000,0,31-JUL-2012,
FUTSTK,BANKBARODA,30-Aug-2012,0,XX,682.35,682.35,648.5,660.8,660.8,8620,14213.72,2731250,9250,31-JUL-2012,
FUTSTK,BANKBARODA,27-Sep-2012,0,XX,672,673.6,652,662.95,662.95,74,122.51,15750,5250,31-JUL-2012,
FUTSTK,BANKBARODA,25-Oct-2012,0,XX,0,0,0,681.4,670.55,0,0,0,0,31-JUL-2012,
FUTSTK,BANKINDIA,30-Aug-2012,0,XX,300,300.8,290.15,299.2,299.2,2034,6014.51,3371000,8000,31-JUL-2012,
FUTSTK,BANKINDIA,27-Sep-2012,0,XX,294,300.95,292,299.55,299.55,10,29.73,17000,2000,31-JUL-2012,
FUTSTK,BANKINDIA,25-Oct-2012,0,XX,0,0,0,315.15,304.5,0,0,0,0,31-JUL-2012,
FUTSTK,BATAINDIA,30-Aug-2012,0,XX,880.2,897.95,876.05,893.45,893.45,2148,9536.16,1072000,27000,31-JUL-2012,
FUTSTK,BATAINDIA,27-Sep-2012,0,XX,882.85,898,879.35,896.45,896.45,11,48.92,21000,2000,31-JUL-2012,
FUTSTK,BATAINDIA,25-Oct-2012,0,XX,0,0,0,889,909.45,0,0,1000,0,31-JUL-2012,
FUTSTK,BEL,30-Aug-2012,0,XX,1129.95,1182,1112.05,1167.5,1167.5,600,1708.1,76750,-2750,31-JUL-2012,
FUTSTK,BEL,27-Sep-2012,0,XX,0,0,0,1344.75,1179.3,0,0,0,0,31-JUL-2012,
FUTSTK,BEML,30-Aug-2012,0,XX,318.95,325.7,316.1,319.6,319.6,566,907.98,631000,15000,31-JUL-2012,
FUTSTK,BEML,27-Sep-2012,0,XX,322,331.95,322,331.95,323.25,2,3.26,3500,0,31-JUL-2012,
